"filename", "language", "XML", "JSON", "C#", "comment", "blank", "total"
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/patches/trader.json", "JSON", 0, 73, 0, 0, 0, 73
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/recipes/grid/block/chargingtable.json", "JSON", 0, 39, 0, 0, 0, 39
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/recipes/grid/block/enchanting-table.json", "JSON", 0, 24, 0, 0, 0, 24
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/shapes/block/assessment-table0.json", "JSON", 0, 490, 0, 0, 0, 490
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/shapes/block/assessment-table1.json", "JSON", 0, 1391, 0, 0, 10, 1401
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/shapes/block/chargingtable.json", "JSON", 0, 2855, 0, 0, 10, 2865
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/shapes/block/enchanting-table-test.json", "JSON", 0, 987, 0, 0, 0, 987
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/shapes/block/enchanting-table.json", "JSON", 0, 2180, 0, 0, 0, 2180
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/assets/krpgenchantment/shapes/block/reagent-table.json", "JSON", 0, 85, 0, 0, 0, 85
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/krpgenchantment.csproj", "XML", 67, 0, 0, 60, 5, 132
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/modinfo.json", "JSON", 0, 11, 0, 0, 0, 11
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/API/ApiAdditions.cs", "C#", 0, 0, 38, 15, 1, 54
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/API/EnchantmentAccessor.cs", "C#", 0, 0, 948, 326, 72, 1346
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/API/IEnchantmentAccessor.cs", "C#", 0, 0, 29, 34, 1, 64
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/API/IEnchantmentClientAccessor.cs", "C#", 0, 0, 22, 8, 1, 31
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/API/IEnchantmentServerAccessor.cs", "C#", 0, 0, 60, 201, 1, 262
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Behaviors/ActiveEnchantCache.cs", "C#", 0, 0, 14, 0, 2, 16
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Behaviors/EnchantmentBEBehavior.cs", "C#", 0, 0, 60, 7, 3, 70
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Behaviors/EnchantmentBehavior.cs", "C#", 0, 0, 198, 54, 8, 260
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Behaviors/EnchantmentBlockBehavior.cs", "C#", 0, 0, 131, 12, 4, 147
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Behaviors/EnchantmentEntityBehavior.cs", "C#", 0, 0, 660, 325, 32, 1017
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/BlockEntities/ChargingBE.cs", "C#", 0, 0, 349, 82, 19, 450
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/BlockEntities/EnchantingBE.cs", "C#", 0, 0, 604, 158, 28, 790
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Blocks/ChargingBlock.cs", "C#", 0, 0, 20, 0, 2, 22
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Blocks/EnchantingBlock.cs", "C#", 0, 0, 19, 10, 6, 35
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Command/KRPGCommandSystem.cs", "C#", 0, 0, 225, 13, 16, 254
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Command/KRPGCommands.cs", "C#", 0, 0, 179, 47, 12, 238
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Compatibility/COSystem.cs", "C#", 0, 0, 151, 11, 6, 168
"/run/media/nixy/Games01/VSProjects/Net10/KRPGEnchantment/krpgenchantment/src/Compatibility/KRPGWandsSystem.cs", "C#", 0, 0, 64, 7, 4, 75
